grain,season,source_season_id,source_team_id,team_season_id,source_player_id,team_attachment_status,player_attachment_status
squad,2025-26,2025,14,2025-26:1,116535,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,449027,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,155503,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,586268,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,617719,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,464353,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,171287,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,97032,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,204716,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,544877,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,492777,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,647681,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,122798,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,216094,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,219937,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,489580,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,577722,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,611926,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,718875,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,519440,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,158983,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,494595,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,424876,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,243016,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,206915,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,441266,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,591386,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,535928,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,491501,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,596042,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,530331,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,514515,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,219168,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,118748,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,223541,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,243298,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,510663,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,496185,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,520280,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,611922,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,500058,VERIFIED,SOURCE_NATIVE_ONLY
squad,2025-26,2025,14,2025-26:1,677945,VERIFIED,SOURCE_NATIVE_ONLY
